2023-06-22 11:54:34,145|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|null|1687406074107|eb2c125973d1|persist|pub|-1|522116c0abb1cc47bcfe6a56913681b1
2023-06-22 11:54:34,239|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|null|1687406074107|172.22.0.2|dump|ok|132|1494
2023-06-22 12:16:17,938|eb2c125973d1|transport.shutdown.wait|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:26,889|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1312782|172.22.0.3|false
2023-06-22 12:16:27,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1312971|172.22.0.3|false
2023-06-22 12:16:27,269|eb2c125973d1|store.session.mode|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:27,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1313170|172.22.0.3|false
2023-06-22 12:16:27,283|eb2c125973d1|store.lock.mode|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:27,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1313370|172.22.0.3|false
2023-06-22 12:16:27,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1313570|172.22.0.3|false
2023-06-22 12:16:27,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1313770|172.22.0.3|false
2023-06-22 12:16:28,081|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1313974|172.22.0.3|false
2023-06-22 12:16:28,310|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1314203|172.22.0.3|false
2023-06-22 12:16:28,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1314370|172.22.0.3|false
2023-06-22 12:16:28,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1314570|172.22.0.3|false
2023-06-22 12:16:28,878|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1314771|172.22.0.3|false
2023-06-22 12:16:29,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1314971|172.22.0.3|false
2023-06-22 12:16:29,278|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1315171|172.22.0.3|false
2023-06-22 12:16:29,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1315370|172.22.0.3|false
2023-06-22 12:16:29,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1315570|172.22.0.3|false
2023-06-22 12:16:29,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1315770|172.22.0.3|false
2023-06-22 12:16:30,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1315970|172.22.0.3|false
2023-06-22 12:16:30,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1316170|172.22.0.3|false
2023-06-22 12:16:30,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1316370|172.22.0.3|false
2023-06-22 12:16:30,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1316570|172.22.0.3|false
2023-06-22 12:16:30,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1316770|172.22.0.3|false
2023-06-22 12:16:31,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1316971|172.22.0.3|false
2023-06-22 12:16:31,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1317170|172.22.0.3|false
2023-06-22 12:16:31,357|eb2c125973d1|metrics.enabled|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,364|eb2c125973d1|transport.threadFactory.bossThreadPrefix|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,366|eb2c125973d1|transport.threadFactory.workerThreadPrefix|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,369|eb2c125973d1|transport.threadFactory.shareBossWorker|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,373|eb2c125973d1|transport.type|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,376|eb2c125973d1|transport.threadFactory.workerThreadSize|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,379|eb2c125973d1|transport.server|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,399|eb2c125973d1|transport.heartbeat|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,402|eb2c125973d1|transport.rpcTcRequestTimeout|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,406|eb2c125973d1|transport.enableTcServerBatchSendResponse|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,411|eb2c125973d1|registry.preferredNetworks|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,460|eb2c125973d1|transport.threadFactory.bossThreadSize|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1317370|172.22.0.3|false
2023-06-22 12:16:31,563|eb2c125973d1|transport.threadFactory.bossThreadPrefix|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,678|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1317571|172.22.0.3|false
2023-06-22 12:16:31,712|eb2c125973d1|transport.threadFactory.workerThreadPrefix|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,735|eb2c125973d1|server.distributedLockExpireTime|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,739|eb2c125973d1|store.session.mode|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,743|eb2c125973d1|store.file.dir|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,753|eb2c125973d1|store.file.sessionReloadReadSize|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,764|eb2c125973d1|store.file.fileWriteBufferCacheSize|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,767|eb2c125973d1|store.file.flushDiskMode|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,789|eb2c125973d1|store.lock.mode|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,818|eb2c125973d1|server.recovery.asyncCommittingRetryPeriod|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,822|eb2c125973d1|server.rollbackRetryTimeoutUnlockEnable|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,830|eb2c125973d1|server.xaerNotaRetryTimeout|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,834|eb2c125973d1|server.enableParallelHandleBranch|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,848|eb2c125973d1|server.session.enableBranchAsyncRemove|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,882|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1317775|172.22.0.3|false
2023-06-22 12:16:31,887|eb2c125973d1|server.enableParallelRequestHandle|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:31,900|eb2c125973d1|server.enableCheckAuth|SEATA_GROUP|null|unknown|-1|pull|not-found|-1|172.22.0.3|false
2023-06-22 12:16:32,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1317971|172.22.0.3|false
2023-06-22 12:16:32,280|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1318173|172.22.0.3|false
2023-06-22 12:16:32,484|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1318377|172.22.0.3|false
2023-06-22 12:16:32,676|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1318569|172.22.0.3|false
2023-06-22 12:16:32,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1318770|172.22.0.3|false
2023-06-22 12:16:33,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1318971|172.22.0.3|false
2023-06-22 12:16:33,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1319170|172.22.0.3|false
2023-06-22 12:16:33,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1319370|172.22.0.3|false
2023-06-22 12:16:33,679|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1319572|172.22.0.3|false
2023-06-22 12:16:33,878|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1319771|172.22.0.3|false
2023-06-22 12:16:34,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1319971|172.22.0.3|false
2023-06-22 12:16:34,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320170|172.22.0.3|false
2023-06-22 12:16:34,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320370|172.22.0.3|false
2023-06-22 12:16:34,678|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320571|172.22.0.3|false
2023-06-22 12:16:34,880|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320773|172.22.0.3|false
2023-06-22 12:16:35,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320970|172.22.0.3|false
2023-06-22 12:16:35,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321170|172.22.0.3|false
2023-06-22 12:16:35,476|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321369|172.22.0.3|false
2023-06-22 12:16:35,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321570|172.22.0.3|false
2023-06-22 12:16:35,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321770|172.22.0.3|false
2023-06-22 12:16:36,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321970|172.22.0.3|false
2023-06-22 12:16:36,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322170|172.22.0.3|false
2023-06-22 12:16:36,478|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322371|172.22.0.3|false
2023-06-22 12:16:36,676|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322569|172.22.0.3|false
2023-06-22 12:16:36,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322770|172.22.0.3|false
2023-06-22 12:16:37,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322971|172.22.0.3|false
